lender_table,name,product_name,application_url,lender_row_url,eligible_states,bureaus_pulled,business_bureau_pulled,double_pull,multiple_llc_allowed,stated_requirements,docs_requested,application_method,approval_speed,typical_approval_range,average_starting_loc,max_known_loc,apr_terms,repayment_terms,draw_period_renewal,relationship_required,deposit_balance_impact,known_friendly_states,insider_tips,priority_tier,notes,active,branch_location_info,prequal_soft_pull,intro_offers,requires_account_opening,minimum_deposit,underwriter_interaction,relationship_manager,documentation_required,minimum_time_in_business_years,minimum_revenue_threshold,collateral_required,renewal_terms,loan_type,apr_range_pct,repayment_terms_months,funding_speed,loc_type,external_row_id
InBranchBizCC,Bryant Bank,,,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,AL,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BRYANT-BANK
OnlineBizCC,BSNB (0%,TCM),,https://app.notion.com/p/legacystrong/New-York-253c3aa761d28069ba19e83288742472,NY,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BSNB-0
InBranchBizCC,Byline Bank,,https://www.bylinebank.com/business/credit-cards/,https://app.notion.com/p/legacystrong/Illinois-253c3aa761d28004ba89f6af65a5b622,IL,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BYLINE-BANK
InBranchBizCC,C&F Bank,,,https://app.notion.com/p/legacystrong/Virginia-253c3aa761d28024a870e60ca73b3bef,VA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-C-F-BANK
InBranchBizCC,Cadence Bank,,,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,AL,,,,,,,,,,,,,,,,,,Local reputation helps.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CADENCE-BANK
OnlineBizCC,California Bank & Trust,,,https://app.notion.com/p/legacystrong/California-253c3aa761d280ff9c2ad133360c32a2,CA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CALIFORNIA-BANK-TRUST
InBranchBizCC,Camden National Bank,,https://www.camdennational.com/small-business/bank/debit-and-credit-cards,https://app.notion.com/p/legacystrong/Maine-253c3aa761d280029487cfffe3552a48,ME,,,,,,,,,,,,,,,,,,"Offers small business credit cards—terms vary, so speak with a rep.; May be backed by Elan (verify before applying).",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CAMDEN-NATIONAL-BANK
InBranchBizCC,Capital Federal Savings Bank,,https://www.capfed.com/business/commercial-and-business-loans/business-credit-cards,https://app.notion.com/p/legacystrong/Kansas-253c3aa761d28030a60fd298581357b7,KS,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CAPITAL-FEDERAL-SAVINGS-BANK
OnlineBizCC,Capital One,,https://www.capitalone.com/small-business/credit-cards/,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,All States,,,,,Easier approval if you’ve had a strong personal card history with them.; Capital One: Currently does not allow credit limit reallocation.,,,,,,,,,,,,,"Reports to personal credit, so avoid if you’re protecting personal utilization.; [BBVA]; Often available in AL. Good for building regional relationships.; May report to personal credit; May report to personal credit. Be aware.; BBVA; Reports to personal credit; May report to personal credit.; 🆕 New Banks Found in California:; 15. Community Banks of Colorado; Reports to personal credit. Proceed only if you’re not planning to stack other cards soon.; Good option for long-term relationships or second-tier plays.; Recommended only if you’re okay with personal inquiries; Additional Kansas Banks:; Easier approval if you’ve had a strong personal card history with them.; Business cards may report to personal credit; Additional Louisiana Banks; IberiaBank; Reports to personal credit—be cautious.; …",,"Source: Notion Deep State Datapoints (Legacy Strong); Hub refs: High limit personal cards, Moving credit limits between credit cards",true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CAPITAL-ONE
OnlineBizCC,Carolina Bank,,,https://app.notion.com/p/legacystrong/North-Carolina-253c3aa761d280ea96cafe4602f9b0a8,NC,,,,,No business checking needed.,,,,,,,,,,,,,"No business checking needed.; Click BUSINESS tab and apply for 0% interest (20 months).; Report $200k+ account/investment balance (unverified) for $25k+ limits.; Don’t use VPN; apply from IP near business/personal address.; After first approval, apply with second Elan partner bank with consistent info.",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CAROLINA-BANK
OnlineBizCC,Carter Bank & Trust,,,https://app.notion.com/p/legacystrong/Virginia-253c3aa761d28024a870e60ca73b3bef,VA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CARTER-BANK-TRUST
OnlineBizCC,Cashmere Valley Bank,,,https://app.notion.com/p/legacystrong/Washington-253c3aa761d280fd80f1c16fa02e72b1,WA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CASHMERE-VALLEY-BANK
InBranchBizCC,Cathay Bank,,,https://app.notion.com/p/legacystrong/California-253c3aa761d280ff9c2ad133360c32a2,CA,,,,,,,,,,,,,,,,,,Offers competitive biz rewards cards. Must apply in-branch.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CATHAY-BANK
InBranchBizCC,CenterState Bank (Now SouthState),,,https://app.notion.com/p/legacystrong/Florida-253c3aa761d280d7aae1c62c34560395,FL,,,,,,,,,,,,,,,,,,Offers both secured and unsecured cards; Underwrites BLOCs as well,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CENTERSTATE-BANK-NOW-SOUTHSTATE
InBranchBizCC,Centier Bank,,https://www.centier.com/small-business/credit-cards/,https://app.notion.com/p/legacystrong/Indiana-253c3aa761d280869289d2c1b9f70bb0,IN,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CENTIER-BANK
InBranchBizCC,Central National Bank,,https://www.cnbwaco.com/business-banking/business-credit-cards/,https://app.notion.com/p/legacystrong/Kansas-253c3aa761d28030a60fd298581357b7,KS,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CENTRAL-NATIONAL-BANK
OnlineBizCC,Central Pacific Bank (0% - Elan Financial),,,https://app.notion.com/p/legacystrong/Hawaii-253c3aa761d280909ddfdb2513a2c16f,HI,,,,,No business checking needed,,,,,,,,,,,,,No business checking needed; VPN-sensitive – use local IP; Apply for second Elan card after first approval,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CENTRAL-PACIFIC-BANK-0-ELAN-FINANCIAL
InBranchBizCC,Chase,Business Ink Cash / Ink Unlimited / Ink Preferred,,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",,,,,Business checking account is required. 30+ days of liquidity seasoning strongly improves odds.; Requires a Chase Business Checking account and 30+ days of seasoning helps.; Business checking account required; Season liquidity for 30+ days helps; Business checking account required. Season 30+ days.; Business checking required; 30+ day liquidity seasoning helps; Open a Chase business checking account and season with $5K+ for 30+ days to improve approval odds.; 30+ day seasoning of funds helps; Le…; Chase is highly regarded for business funding because of its generous credit limits. As one of th…,,,,,,,,,,yes,,,"Business checking account is required. 30+ days of liquidity seasoning strongly improves odds.; Go to your local Chase Bank and meet with a Relationship Manager. Otherwise, apply via this link.; Strategy: Apply for either the Ink Cash + Ink Unlimited or 2 different Ink cards on separate LLCs.; Apply for one card → wait for decision → then submit second card to increase odds.; Requires a Chase Business Checking account and 30+ days of seasoning helps.; Best to apply for Ink Cash + Ink Unlimited, or two Biz Inks on different entities.; Apply one → wait → apply second for best odds.; Business checking account required; Season liquidity for 30+ days helps; Apply with your local RM; Apply for 1–2 at a time: either Ink Cash + Ink Unlimited, or 2 Biz Inks (different businesses); With RM: call to…; Chase will not approve new credit card applications if you've opened 5 or more personal credit ca…",,"Source: Notion Deep State Datapoints (Legacy Strong); Hub refs: Chase cards, Favorite business credit cards, Applying again at the same bank, Alec’s favorite personal cards, High limit personal cards, Moving credit limits between credit cards",true,,,,yes,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CHASE
InBranchBizCC,Chase Bank,,,https://app.notion.com/p/legacystrong/Nebraska-253c3aa761d280bea995f13e0b43d9d3,NE,,,,,Business checking required. Seasoning 30+ days helps.,,,,,,,,,,yes,,,"Go to your local Chase Bank and meet with a Relationship Manager. Otherwise, apply via this link.; Business checking required. Seasoning 30+ days helps.; Best to apply for 1–2 cards (e.g. Ink Cash + Ink Unlimited or 2 on separate businesses).; If using RM, call and request both apps, then stagger submission.",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CHASE-BANK
InBranchBizCC,Choice Bank,,,https://app.notion.com/p/legacystrong/North-Dakota-253c3aa761d280fb8cc3db0a998caa8c,ND,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CHOICE-BANK
InBranchBizCC,Citi,,https://www.citi.com/credit-cards/compare/business-credit-cards,https://app.notion.com/p/legacystrong/Illinois-253c3aa761d28004ba89f6af65a5b622,"IL, NV, NY",,,,,"The 1 in 8 Rule & 2 in 65 Rule set by Citi ensures a controlled application process for their credit cards. Here's how it applies:; For Personal Cards: You're allowed one Citi card approval every eight days, with no more than two approvals within a rolling 65-day window.; For Business Cards: The limit is one approval every 95 days.; Citi: A minimum 6-month card age is required, and reallocations often require a hard pull on your credit.",,,,,,,,,,,,,"If you're considering the Citi Rewards+ card but have previously received a bonus for the Citi Premier card, there are a couple of scenarios to consider:; Eligible for Citi Rewards+: If it's been over 24 months since you earned a bonus on the Citi Premier card, you're eligible to apply for and receive the bonus on the Citi Rewards+ card.; Ineligible for Citi Rewards+: If you have received a bonus for the Citi Premier card within the last 24 months, or if you've closed the Citi Premier card in that time frame, you're not eligible for the bonus on the Citi Rewards+. This illustrates the importance of timing your applications to maximize bonus opportunities and avoid disqualification due to recent bonuses or closures.; This illustrates the importance of timing your applications to maximize bonus opportunities and avoid disqualification due to recent bonuses or closures.; Citi Simplicity Ca…",,"Source: Notion Deep State Datapoints (Legacy Strong); Hub refs: Citi cards, Best balance transfer cards, Moving credit limits between credit cards",true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CITI
OnlineBizCC,Citizens Bank,,https://www.firstcitizens.com/small-business/credit-financing/credit-cards/premium-rewards,https://app.notion.com/p/legacystrong/Arkansas-253c3aa761d280bebebfdc79020e3fc3,"AR, CT, DE, FL, MA, MD, MI, NH, NJ, NY, OH, OK, PA, RI, VA, VT",EQ,,,,Best if you already have a Citizens checking account.,,,,,,,,,,,,,Soft pull on EQ; Business age helps; Offers up to $15k card or $50k line of credit; Soft pull on Equifax.; Business age and relationship help.; Strategy: Apply for up to a $15K 0% card and/or a $50K Business LOC (Line of Credit).; Best if you already have a Citizens checking account.; Soft credit pull on EQ; 0% card up to $15k or up to a $50k line of credit; Soft pull on Equifax; Option to get up to $15K credit card or $50K line of credit; Business age improves odds; Up to $15k on 0% cards or $50k on a LOC; Soft pull via Equifax.; Business age supports approvals.; Options for 0% card up to $15K or unsecured LOC up to $50K.; Up to $15k 0% card or $50k Line of Credit; Older businesses have better odds; Up to $15K 0% card or $50K line of credit available; EQ soft pull; Up to $15k 0% card or…,,Source: Notion Deep State Datapoints (Legacy Strong),true,,yes,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CITIZENS-BANK
OnlineBizCC,Citizens First Bank,,,https://app.notion.com/p/legacystrong/Florida-253c3aa761d280d7aae1c62c34560395,FL,,,,,,,,,,,,,,,,,,Third-party card issuer (TCM) with friendly underwriting,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CITIZENS-FIRST-BANK
InBranchBizCC,City National Bank,,https://www.cnb.com/business-banking/lending/credit-cards.html,https://app.notion.com/p/legacystrong/California-253c3aa761d280ff9c2ad133360c32a2,"CA, NV, WV",,,,,,,,,,,,,,,,,,Ideal for high-income or asset-heavy entrepreneurs. Relationship-driven.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CITY-NATIONAL-BANK
InBranchBizCC,City National Bank and Trust,,,https://app.notion.com/p/legacystrong/Oklahoma-253c3aa761d2808aaab1fdc8f586b2f0,OK,,,,,,,,,,,,,,,,,,Offers Visa Commercial cards for small to mid-size businesses,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CITY-NATIONAL-BANK-AND-TRUST
OnlineBizCC,Citywide Banks (0%,HTLF),,https://app.notion.com/p/legacystrong/Colorado-253c3aa761d28070b6f5f734098892e5,CO,,,,,,,,,,,,,,,,,,Online application; Expect a follow-up call; Reporting high net worth (multi-6 figures) + $50k monthly spend may help approval,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CITYWIDE-BANKS-0
InBranchBizCC,Clear Mountain Bank,,,https://app.notion.com/p/legacystrong/West-Virginia-253c3aa761d2801a9a0be7cac92cd17c,WV,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CLEAR-MOUNTAIN-BANK
InBranchBizCC,Coastal Bank (LOC only),,,https://app.notion.com/p/legacystrong/Washington-253c3aa761d280fd80f1c16fa02e72b1,WA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COASTAL-BANK-LOC-ONLY
InBranchBizCC,Columbia Bank,,,https://app.notion.com/p/legacystrong/Oregon-253c3aa761d2804f814bd966509c8a78,OR,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COLUMBIA-BANK
InBranchBizCC,Columbia State Bank,,,https://app.notion.com/p/legacystrong/Washington-253c3aa761d280fd80f1c16fa02e72b1,WA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COLUMBIA-STATE-BANK
InBranchBizCC,Comerica,,,https://app.notion.com/p/legacystrong/Texas-253c3aa761d280e69380ed7607909b5b,TX,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COMERICA
InBranchBizCC,Comerica Bank,,https://www.comerica.com/business/banking/cards-online-sevices/business-credit-card.html,https://app.notion.com/p/legacystrong/Arizona-253c3aa761d280c9aea9d64e162937b2,"AZ, MI",,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COMERICA-BANK
InBranchBizCC,Commerce Bank,,https://www.commercebank.com/business/cards/credit-cards,https://app.notion.com/p/legacystrong/Kansas-253c3aa761d28030a60fd298581357b7,"KS, MO",,,,,,,,,,,,,,,,,,"No further details available, but worth applying if you have a relationship or local presence.",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COMMERCE-BANK
InBranchBizCC,Community Bank,,https://creditcardlearnmore.com/11t3/index,https://app.notion.com/p/legacystrong/Louisiana-253c3aa761d28022842ae6894ed544b8,"LA, MS, NY",,,,,,,,,,,,,,,,,,Midland,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COMMUNITY-BANK
InBranchBizCC,Community National Bank,,,https://app.notion.com/p/legacystrong/Vermont-253c3aa761d280bd88b2d1ca550f80f6,VT,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COMMUNITY-NATIONAL-BANK
InBranchBizCC,Community Trust Bank,,https://www.ctbi.com/banking/business-banking/business-checking,https://app.notion.com/p/legacystrong/Kentucky-253c3aa761d2803d906ef673163a8535,KY,,,,,,,,,,,,,,,,,,Offers Visa Business cards. Call or visit branch for latest 0% promo offerings.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-COMMUNITY-TRUST-BANK
OnlineBizCC,Connect One Bank (0%,TCM),,https://app.notion.com/p/legacystrong/New-York-253c3aa761d28069ba19e83288742472,NY,,,,,,,,,,,,,,,,,,Other Noteworthy Options,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CONNECT-ONE-BANK-0
OnlineBizCC,Connecticut Community Bank,,,https://app.notion.com/p/legacystrong/Connecticut-253c3aa761d2801fbf66c6a5f585f1fa,CT,,,,,,,,,,,,,,,,,,Trusted local option.; TCM-powered card with low APRs and 0% options.; Personal and business versions available.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CONNECTICUT-COMMUNITY-BANK
OnlineBizCC,Connection Bank,,,https://app.notion.com/p/legacystrong/Iowa-253c3aa761d280f4b9f7f0d95afaf759,IA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-CONNECTION-BANK
InBranchBizCC,Cornerstone Bank,,,https://app.notion.com/p/legacystrong/Nebraska-253c3aa761d280bea995f13e0b43d9d3,NE,,,,,,,,,,,,,,,,,,🔗 Cornerstone Credit,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CORNERSTONE-BANK
InBranchBizCC,CorTrust Bank,,,https://app.notion.com/p/legacystrong/South-Dakota-253c3aa761d2801c8999ff2977db8c79,SD,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-CORTRUST-BANK
InBranchBizCC,D.L. Evans Bank,,https://www.dlevans.com/business/business-credit-cards,https://app.notion.com/p/legacystrong/Idaho-253c3aa761d28090b2e9fde857adcbf7,ID,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-D-L-EVANS-BANK
InBranchBizCC,Dacotah Bank,,,https://app.notion.com/p/legacystrong/South-Dakota-253c3aa761d2801c8999ff2977db8c79,SD,,,,,,,,,,,,,,,,,,0% card available. Inquire directly for business requirements.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-DACOTAH-BANK
OnlineBizCC,DB&T (Dubuque Bank & Trust) (0% - HTLF),,https://www.dubuquebank.com/,https://app.notion.com/p/legacystrong/Iowa-253c3aa761d280f4b9f7f0d95afaf759,IA,,,,,,,,,,,,,,,,,,Submit online; expect follow-up call.; Multi six-figure net worth helps.; $50K/month spend recommended.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-DB-T-DUBUQUE-BANK-TRUST-0-HTLF
InBranchBizCC,Denali State Bank,,,https://app.notion.com/p/legacystrong/Alaska-253c3aa761d2805cbd2ec6dcf14c8ac1,AK,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-DENALI-STATE-BANK
InBranchBizCC,Desert Financial CU,,,https://app.notion.com/p/legacystrong/Arizona-253c3aa761d280c9aea9d64e162937b2,AZ,,,,,,,,,,,,,,,,,,Golden Valley,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-DESERT-FINANCIAL-CU
OnlineBizCC,Dogwood State Bank,,,https://app.notion.com/p/legacystrong/North-Carolina-253c3aa761d280ea96cafe4602f9b0a8,NC,,,,,No business checking required.,,,,,,,,,,,,,No business checking required.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-DOGWOOD-STATE-BANK
OnlineBizCC,Eagle Bank (0%,TCM),,https://app.notion.com/p/legacystrong/Arkansas-253c3aa761d280bebebfdc79020e3fc3,AR,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-EAGLE-BANK-0
InBranchBizCC,East Boston Savings Bank,,https://www.ebsb.com/business,https://app.notion.com/p/legacystrong/Massachusetts-253c3aa761d280a6a509d271933413ad,MA,,,,,Small business focused services. Branch visit likely required.,,,,,,,,,,,,,Small business focused services. Branch visit likely required.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-EAST-BOSTON-SAVINGS-BANK
InBranchBizCC,Eastern Bank,,https://www.easternbank.com/credit-cards,https://app.notion.com/p/legacystrong/Massachusetts-253c3aa761d280a6a509d271933413ad,MA,,,,,,,,,,,,,,,,,,Offers Visa® Business Card with 0% on purchases for the first 6–9 months.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-EASTERN-BANK
OnlineBizCC,Elan Financial,,,https://app.notion.com/p/legacystrong/Arizona-253c3aa761d280c9aea9d64e162937b2,"AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, NV, OH, OR, RI, VT, WA, WI",,,,,No business checking required; No biz checking required; No business checking needed; 3rd-party underwriter; no business checking required.; No biz checking required. Apply locally without VPN.; No biz checking needed; Third-party issued. No business bank account required. Apply at an IP near your biz address. No VPNs. Report high balances.,,,,,,,,,,,,,"No business checking required; Apply from an IP close to your business address; Report $200k+ in account balance or investment account (helps get $25k+ limit – unverified); After 1st approval, apply to 2nd Elan bank using consistent info; No biz checking required; Apply from IP near business address; Reporting $200k+ in account/investments can help get $25k+ limit (unverified); First approval → second Elan app (with same info); Apply from IP address near business location; Reporting $200k+ in “account balance” or investments may help with $25k+ limits (unverified); First approval → apply at second Elan bank (ensure consistency in data); Apply from IP near business or home (no VPNs!); Reporting $200k+ in liquid/investment “account balance” can help get $25k+ limit; First approval → apply t…",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL
OnlineBizCC,Elan Financial (0%,20 Months),,https://app.notion.com/p/legacystrong/New-York-253c3aa761d28069ba19e83288742472,NY,,,,,No checking account required,,,,,,,,,,,,,"No checking account required; Avoid VPNs, apply from business IP location; $200k+ in assets (claimed) boosts limit approval (unverified)",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL-0
OnlineBizCC,Elan Financial (0% for 20 Months,No Checking Required),,https://app.notion.com/p/legacystrong/North-Dakota-253c3aa761d280fb8cc3db0a998caa8c,"ND, UT, VA, WV, WY",,,,,,,,,,,,,,,,,,"Avoid VPNs, apply near business address; Use $200k+ “account balance” to aim for $25k+ limits (not verified); Use consistent info. Apply from local IP (no VPN). Reporting $200k+ in “investment/bank balance” can increase approval odds (unverified).; Use consistent info. Apply from local IP (no VPN). Reporting $200k+ in “investment/bank balance” may increase limit (unverified).; Don’t use a VPN. Apply from IP near business location. Reporting $200k+ in “account balance” may help with higher limit (unverified).; Apply from local IP address (no VPN). Report $200k+ in “account balance” for best shot at $25k+ limit.",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL-0-FOR-20-MONTHS
OnlineBizCC,Elan Financial Banks (0% for 20 Months,No Business Checking Needed),,https://app.notion.com/p/legacystrong/Oklahoma-253c3aa761d2808aaab1fdc8f586b2f0,"OK, PA, SC, TN",,,,,,,,,,,,,,,,,,"Avoid VPNs; apply from an IP near your business; Report $200k+ “account balance” or “investments” for $25k+ limit (unverified tip); Apply to one bank first, then apply to a second after approval using same data; Apply from a local IP (no VPN). Report $200k+ in “account balance” for higher limit (not verified). Apply to second bank only after 1st approval with consistent info.; Apply from a local IP (no VPN). $200k+ in “investment account” may help you get $25k+ limit (not verified). Apply to second bank only; after",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL-BANKS-0-FOR-20-MONTHS
OnlineBizCC,Elan Financial Issued Cards (20 months 0%),,,https://app.notion.com/p/legacystrong/Nebraska-253c3aa761d280bea995f13e0b43d9d3,NE,,,,,No checking required. Do NOT use a VPN. Apply near business address.,,,,,,,,,,,,,"No checking required. Do NOT use a VPN. Apply near business address.; Show $200K+ “account balance” or “investments” (unverified) for $25K+ limit.; Apply to 2 separate banks, staggered apps, consistent data points.; 🔗 NebraskaLand Bank; 🔗 Midland",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL-ISSUED-CARDS-20-MONTHS-0
OnlineBizCC,Elan Financial Issuers,,,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,AL,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL-ISSUERS
OnlineBizCC,Elan Financial Network,,,https://app.notion.com/p/legacystrong/Kentucky-253c3aa761d2803d906ef673163a8535,KY,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ELAN-FINANCIAL-NETWORK
